Date,Close
2014-01-17,11.33
2014-01-21,11.78
2014-01-22,11.9
2014-01-23,12.1
2014-01-24,11.64
2014-01-27,11.31
2014-01-28,11.89
2014-01-29,11.68
2014-01-30,12.19
2014-01-31,12.09
2014-02-03,11.81
2014-02-04,11.92
2014-02-05,11.63
2014-02-06,11.89
2014-02-07,12.44
2014-02-10,13.1
2014-02-11,13.11
2014-02-12,13.02
2014-02-13,13.31
2014-02-14,13.22
2014-02-18,13.58
2014-02-19,12.91
2014-02-20,14.0
2014-02-21,13.97
2014-02-24,14.51
2014-02-25,16.53
2014-02-26,16.87
2014-02-27,16.84
2014-02-28,16.32
2014-03-03,16.7
2014-03-04,16.99
2014-03-05,16.84
2014-03-06,16.86
2014-03-07,16.41
2014-03-10,15.92
2014-03-11,15.63
2014-03-12,16.1
2014-03-13,15.85
2014-03-14,15.4
2014-03-17,15.6
2014-03-18,16.0
2014-03-19,15.72
2014-03-20,15.66
2014-03-21,15.26
2014-03-24,14.68
2014-03-25,14.7
2014-03-26,14.2
2014-03-27,13.82
2014-03-28,14.16
2014-03-31,13.9
2014-04-01,14.46
2014-04-02,15.35
2014-04-03,15.03
2014-04-04,14.15
2014-04-07,13.83
2014-04-08,14.36
2014-04-09,14.46
2014-04-10,13.61
2014-04-11,13.59
2014-04-14,13.21
2014-04-15,12.93
2014-04-16,13.27
2014-04-17,13.21
2014-04-21,13.63
2014-04-22,14.58
2014-04-23,13.87
2014-04-24,13.86
2014-04-25,13.32
2014-04-28,13.23
2014-04-29,13.79
2014-04-30,13.86
2014-05-01,13.85
2014-05-02,14.06
2014-05-05,14.44
2014-05-06,13.82
2014-05-07,13.42
2014-05-08,11.91
2014-05-09,12.15
2014-05-12,12.31
2014-05-13,12.68
2014-05-14,12.71
2014-05-15,12.57
2014-05-16,12.77
2014-05-19,13.07
2014-05-20,13.02
2014-05-21,13.3
2014-05-22,13.66
2014-05-23,13.82
2014-05-27,14.1
2014-05-28,14.02
2014-05-29,14.02
2014-05-30,13.85
2014-06-02,13.65
2014-06-03,13.66
2014-06-04,13.6
2014-06-05,13.79
2014-06-06,13.88
2014-06-09,13.69
2014-06-10,13.49
2014-06-11,13.63
2014-06-12,13.57
2014-06-13,13.76
2014-06-16,14.97
2014-06-17,15.44
2014-06-18,15.14
2014-06-19,15.19
2014-06-20,15.31
2014-06-23,15.81
2014-06-24,15.5
2014-06-25,15.79
2014-06-26,15.71
2014-06-27,15.94
2014-06-30,16.0
2014-07-01,15.98
2014-07-02,15.3
2014-07-03,15.28
2014-07-07,14.84
2014-07-08,14.6
2014-07-09,14.87
2014-07-10,14.63
2014-07-11,14.54
2014-07-14,15.11
2014-07-15,14.64
2014-07-16,14.48
2014-07-17,14.36
2014-07-18,14.67
2014-07-21,14.7
2014-07-22,14.64
2014-07-23,14.83
2014-07-24,14.9
2014-07-25,14.9
2014-07-28,14.99
2014-07-29,15.0
2014-07-30,15.26
2014-07-31,14.89
2014-08-01,15.55
2014-08-04,15.9
2014-08-05,15.9
2014-08-06,16.6
2014-08-07,16.83
2014-08-08,16.54
2014-08-11,17.29
2014-08-12,17.33
2014-08-13,17.35
2014-08-14,17.43
2014-08-15,17.47
2014-08-18,17.33
2014-08-19,17.12
2014-08-20,17.05
2014-08-21,16.96
2014-08-22,17.12
2014-08-25,17.5
2014-08-26,17.45
2014-08-27,17.55
2014-08-28,17.59
2014-08-29,17.98
2014-09-02,18.94
2014-09-03,18.75
2014-09-04,19.07
2014-09-05,18.49
2014-09-08,18.81
2014-09-09,18.57
2014-09-10,18.74
2014-09-11,18.69
2014-09-12,18.61
2014-09-15,16.92
2014-09-16,17.38
2014-09-17,17.43
2014-09-18,17.59
2014-09-19,17.29
2014-09-22,16.67
2014-09-23,16.69
2014-09-24,16.81
2014-09-25,16.46
2014-09-26,16.44
2014-09-29,16.35
2014-09-30,16.18
2014-10-01,16.02
2014-10-02,16.76
2014-10-03,17.01
2014-10-06,17.37
2014-10-07,17.3
2014-10-08,17.29
2014-10-09,17.13
2014-10-10,15.79
2014-10-13,14.97
2014-10-14,15.14
2014-10-15,15.31
2014-10-16,15.09
2014-10-17,15.17
2014-10-20,15.36
2014-10-21,15.69
2014-10-22,15.41
2014-10-23,15.69
2014-10-24,15.68
2014-10-27,14.78
2014-10-28,16.18
2014-10-29,15.87
2014-10-30,15.91
2014-10-31,16.11
2014-11-03,16.17
2014-11-04,15.93
2014-11-05,15.4
2014-11-06,16.08
2014-11-07,16.01
2014-11-10,16.13
2014-11-11,16.74
2014-11-12,16.61
2014-11-13,16.78
2014-11-14,17.25
2014-11-17,16.93
2014-11-18,17.18
2014-11-19,16.52
2014-11-20,16.58
2014-11-21,16.19
2014-11-24,16.45
2014-11-25,16.54
2014-11-26,16.56
2014-11-28,16.3
2014-12-01,15.44
2014-12-02,15.43
2014-12-03,15.29
2014-12-04,15.22
2014-12-05,14.91
2014-12-08,14.29
2014-12-09,14.46
2014-12-10,13.99
2014-12-11,13.93
2014-12-12,13.8
2014-12-15,13.6
2014-12-16,13.19
2014-12-17,13.72
2014-12-18,14.55
2014-12-19,14.62
2014-12-22,14.84
2014-12-23,14.73
2014-12-24,14.82
2014-12-26,15.19
2014-12-29,15.05
2014-12-30,14.82
2014-12-31,14.83
2015-01-02,14.62
2015-01-05,14.01
2015-01-06,14.09
2015-01-07,14.06
2015-01-08,14.04
2015-01-09,13.78
2015-01-12,13.48
2015-01-13,13.62
2015-01-14,12.85
2015-01-15,12.79
2015-01-16,12.87
2015-01-20,12.8
2015-01-21,13.1
2015-01-22,13.44
2015-01-23,13.42
2015-01-26,13.77
2015-01-27,13.73
2015-01-28,13.29
2015-01-29,13.68
2015-01-30,13.57
2015-02-02,14.06
2015-02-03,14.56
2015-02-04,14.57
2015-02-05,14.73
2015-02-06,14.49
2015-02-09,14.5
2015-02-10,14.42
2015-02-11,14.19
2015-02-12,13.53
2015-02-13,13.58
2015-02-17,13.62
2015-02-18,13.63
2015-02-19,14.11
2015-02-20,14.47
2015-02-23,13.82
2015-02-24,13.61
2015-02-25,13.58
2015-02-26,13.81
2015-02-27,13.56
2015-03-02,13.16
2015-03-03,13.3
2015-03-04,13.5
2015-03-05,13.38
2015-03-06,12.93
2015-03-09,12.73
2015-03-10,12.69
2015-03-11,12.92
2015-03-12,12.74
2015-03-13,12.58
2015-03-16,13.05
2015-03-17,12.98
2015-03-18,13.38
2015-03-19,13.04
2015-03-20,13.21
2015-03-23,13.31
2015-03-24,13.45
2015-03-25,12.95
2015-03-26,12.69
2015-03-27,12.33
2015-03-30,12.7
2015-03-31,12.58
2015-04-01,12.51
2015-04-02,12.73
2015-04-06,13.54
2015-04-07,13.55
2015-04-08,13.84
2015-04-09,14.01
2015-04-10,14.06
2015-04-13,13.99
2015-04-14,13.83
2015-04-15,13.86
2015-04-16,13.78
2015-04-17,13.79
2015-04-20,13.68
2015-04-21,13.96
2015-04-22,14.63
2015-04-23,14.57
2015-04-24,14.56
2015-04-27,15.44
2015-04-28,15.37
2015-04-29,15.5
2015-04-30,15.07
2015-05-01,15.07
2015-05-04,15.37
2015-05-05,15.53
2015-05-06,15.36
2015-05-07,15.79
2015-05-08,15.77
2015-05-11,15.97
2015-05-12,16.32
2015-05-13,16.21
2015-05-14,16.27
2015-05-15,16.59
2015-05-18,16.58
2015-05-19,16.48
2015-05-20,16.29
2015-05-21,16.37
2015-05-22,16.52
2015-05-26,16.5
2015-05-27,16.5
2015-05-28,16.76
2015-05-29,16.72
2015-06-01,16.63
2015-06-02,16.56
2015-06-03,16.6
2015-06-04,16.39
2015-06-05,16.61
2015-06-08,17.09
2015-06-09,17.07
2015-06-10,16.71
2015-06-11,16.76
2015-06-12,16.71
2015-06-15,16.69
2015-06-16,16.87
2015-06-17,17.36
2015-06-18,17.46
2015-06-19,17.5
2015-06-22,17.32
2015-06-23,17.84
2015-06-24,17.68
2015-06-25,17.92
2015-06-26,17.81
2015-06-29,17.47
2015-06-30,17.88
2015-07-01,17.94
2015-07-02,18.67
2015-07-06,18.65
2015-07-07,17.86
2015-07-08,17.0
2015-07-09,17.19
2015-07-10,17.28
2015-07-13,17.48
2015-07-14,17.71
2015-07-15,17.54
2015-07-16,17.78
2015-07-17,18.31
2015-07-20,18.82
